 Años 	 Entradas 	 Salidas 	 Flujo Migratorio General 	 Saldo Migratorio 
1997	 819184 	 722733 	 1541917 	96451
1998	 705269 	 624358 	 1329627 	80911
1999	 812217 	 794301 	 1606518 	17916
2000	 971142 	 964900 	 1936042 	6242
2001	 1064298 	 1026848 	 2091146 	37450
2002	 1144358 	 1114157 	 2258515 	30201
2003	 1246747 	 1132907 	 2379654 	113840
2004	 1347839 	 1245697 	 2593536 	102142
2005	 1456926 	 1367156 	 2824082 	89770
2006	 1514822 	 1512844 	 3027666 	1978
2007	 1695379 	 1698881 	 3394260 	-3502
2008	 1757235 	 1767097 	 3524332 	-9862
2009	 1788791 	 1742611 	 3531402 	46180
2010	 1940506 	 1904307 	 3844813 	36199
2011	 2168580 	 2108567 	 4277147 	60013
2012	 2297211 	 2240008 	 4537219 	57203
2013	 2507173 	 2447510 	 4954683 	59663
2014	 2826666 	 2759821 	 5586487 	66845
2015	 2919356 	 2862444 	 5781800 	56912
2016	 2911927 	 2929849 	 5841776 	-17922
2017	 3114763 	 3065412 	 6180175 	49351
2018	 3903315 	 3749943 	 7653258 	153372
2019	 3557506 	 3485700 	 7043206 	71806
2020	 978493 	 1042983 	 2021476 	-64490
2021	 1376221 	 1468567 	 2844788 	-92346
